Case #,Report Type,UCR Classification,Common Name,Address,Disposition,Occur from,Occur to,Rpt Date
16-001023,THEFT - FROM BUILDING,,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,OPEN,,,5/13/2016
16-001028,THEFT - FROM BUILDING,,SUZZALLO LIBRARY,1840 NE GRANT LN,OPEN,,,5/13/2016
16-001014,THEFT - FROM BUILDING,LARCENY - OTHER,CONDON HALL,1100 NE CAMPUS PKY,OPEN,5/11/2016 07:00AM,5/11/2016 05:00PM,5/12/2016
16-001015,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,DISTRICT MARKET,1315 NE CAMPUS PKY,OPEN,5/12/2016 01:05PM,5/12/2016 01:09PM,5/12/2016
16-001001,THEFT - FROM BUILDING,,RED SQUARE,4063  SPOKANE LN NE,OPEN,,,5/11/2016
16-001008,THEFT - FROM BUILDING,,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,OPEN,,,5/11/2016
16-000996,THEFT - OTHER,LARCENY - OTHER,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,OPEN,5/10/2016 07:35PM,5/10/2016 07:40PM,5/10/2016
16-000997,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SUZZALLO LIBRARY,1840 NE GRANT LN,OPEN,5/10/2016 07:40PM,5/10/2016 07:45PM,5/10/2016
16-000982,THEFT - BICYCLE,LARCENY - OTHER,UW STATION,3720  MONTLAKE BLVD NE,OPEN,5/8/2016 01:30PM,5/8/2016 10:00PM,5/9/2016
16-000983,ASSAULT - SIMPLE,SIMPLE ASSAULT,RED SQUARE,4063  SPOKANE LN NE,CLOSED,5/9/2016 02:15PM,5/9/2016 02:20PM,5/9/2016
16-000985,THEFT - BICYCLE,LARCENY - FROM BUILDING,HAGGETT HALL,4290  WHITMAN CT NE,OPEN,5/7/2016 03:00PM,5/9/2016 09:20AM,5/9/2016
16-000974,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SAVERY HALL,4100  SPOKANE LN NE,OPEN,5/7/2016 02:00PM,5/7/2016 03:30PM,5/8/2016
16-000977,THEFT - FROM BUILDING,,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,OPEN,,,5/8/2016
16-000970,THEFT - BICYCLE,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,5/4/2016 06:55AM,5/7/2016 03:30PM,5/7/2016
16-000971,THEFT - AUTO ACCESSORIES,LARCENY - OF MV PART/ACCESSORIES,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,5/7/2016 02:30PM,5/7/2016 07:35PM,5/7/2016
16-000959,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,5/3/2016 10:30AM,5/4/2016 01:30PM,5/6/2016
